rubro,motivo,vulnerabilidad,mes_año_tratamiento,edad,genero,provincia_consumidor,provincia_id
Servicios de comunicaciones,Prácticas Abusivas,Adulto/a mayor,dic-21,85,Masculino,Ciudad Autónoma de Buenos Aires,2
Servicios financieros y seguros,Precios,Socio-económica,dic-21,59,Masculino,Ciudad Autónoma de Buenos Aires,2
Servicios públicos domiciliarios,Falta de Información relevante. Art 4 de la Ley 24.240,Adulto/a mayor,dic-21,52,Femenino,Buenos Aires,6
Servicios de comunicaciones,Cumplimiento parcial o defectuoso de la prestación del servicio,Adulto/a mayor,dic-21,67,Masculino,Buenos Aires,6
Servicios de transporte aéreo,Cumplimiento parcial o defectuoso de la prestación del servicio,Adulto/a mayor,dic-21,67,Masculino,Río Negro,62
Servicios de comunicaciones,Incumplimiento total de la prestación del servicio contratado,Adulto/a mayor,dic-21,69,Femenino,Ciudad Autónoma de Buenos Aires,2
Servicios de Salud,Negativa o falta de cobertura total de la prestación comprometida,Salud,dic-21,35,Masculino,Córdoba,14
Servicios financieros y seguros,Problemas de fraude o estafa,Socio-económica,dic-21,62,Femenino,Neuquén,58
Electrodomésticos y artefactos para el hogar,Falta de Información relevante. Art 4 de la Ley 24.240,Socio-económica,dic-21,66,Femenino,Tucumán,90
Servicios de transporte fluvial o maritimo de pasajeros y cargas,Falta de procesamiento de baja del servicio,Adulto/a mayor,dic-21,79,Femenino,Ciudad Autónoma de Buenos Aires,2
Textil calzado y marroquinería,Problemas de fraude o estafa,NNyA,dic-21,18,Masculino,Ciudad Autónoma de Buenos Aires,2
Servicios de comunicaciones,Cumplimiento parcial o defectuoso de la prestación del servicio,Adulto/a mayor,dic-21,70,Femenino,Buenos Aires,6
Servicios de comunicaciones,Facturación excesiva/ facturación cargos no convenidos,Adulto/a mayor,dic-21,72,Masculino,Córdoba,14
Servicios de comunicaciones,Falta de procesamiento de baja del servicio,Adulto/a mayor,dic-21,72,Masculino,Buenos Aires,6
Servicios financieros y seguros,Falta de Información relevante. Art 4 de la Ley 24.240,Adulto/a mayor,dic-21,71,Femenino,Córdoba,14
Electrodomésticos y artefactos para el hogar,Entrega Defectuosa,Adulto/a mayor,dic-21,77,Femenino,Ciudad Autónoma de Buenos Aires,2
Servicios turísticos,Incumplimiento total de la prestación del servicio contratado,Turista,dic-21,35,Masculino,Ciudad Autónoma de Buenos Aires,2
Servicios de Salud,Negativa o falta de cobertura total de la prestación comprometida,Salud,dic-21,56,Masculino,Ciudad Autónoma de Buenos Aires,2
Inmuebles Inmuebles por accesión,Falta de entrega o demora en la posesión o escrituración del bien,Socio-económica,dic-21,23,Femenino,Córdoba,14
Servicios de comunicaciones,Cumplimiento parcial o defectuoso de la prestación del servicio,Adulto/a mayor,dic-21,60,Femenino,Buenos Aires,6
Servicios de Salud,Cumplimiento parcial o defectuoso de la prestación médica o de cobertura de la medicación prescripta,Salud,dic-21,78,Masculino,Ciudad Autónoma de Buenos Aires,2
Servicios financieros y seguros,Cumplimiento parcial o defectuoso de la prestación del servicio,Adulto/a mayor,dic-21,86,Femenino,Ciudad Autónoma de Buenos Aires,2
Servicios financieros y seguros,Falta de procesamiento de baja del servicio,Adulto/a mayor,dic-21,72,Femenino,Ciudad Autónoma de Buenos Aires,2
Servicios de comunicaciones,Incumplimiento total de la prestación del servicio contratado,Adulto/a mayor,dic-21,73,Femenino,Ciudad Autónoma de Buenos Aires,2
Servicios de comunicaciones,Cumplimiento parcial o defectuoso de la prestación del servicio,Adulto/a mayor,dic-21,56,Femenino,Buenos Aires,6
Servicios turísticos,Incumplimiento total de la prestación del servicio contratado,Turista,dic-21,20,Femenino,Chaco,22
Servicios de comunicaciones,Cumplimiento parcial o defectuoso de la prestación del servicio,Salud,dic-21,56,Masculino,Buenos Aires,6
Informática,Garantía de Bienes. Art 11 Ley 24.240,Adulto/a mayor,dic-21,77,Masculino,Buenos Aires,6
Servicios de comunicaciones,Facturación excesiva/ facturación cargos no convenidos,Adulto/a mayor,dic-21,77,Masculino,Ciudad Autónoma de Buenos Aires,2
Rodados automotores y embarcaciones,Problemas Planes de Ahorro Previo para Fines Determinados,Adulto/a mayor,dic-21,72,Femenino,Buenos Aires,6
Servicios financieros y seguros,Cumplimiento parcial o defectuoso de la prestación del servicio,Adulto/a mayor,dic-21,21,Femenino,Buenos Aires,6
Servicios de comunicaciones,Cumplimiento parcial o defectuoso de la prestación del servicio,Adulto/a mayor,dic-21,87,Masculino,Buenos Aires,6
Equipos de telefonía,Garantía de Bienes. Art 11 Ley 24.240,Discapacidad,dic-21,55,Masculino,Ciudad Autónoma de Buenos Aires,2
Servicios financieros y seguros,Problemas de fraude o estafa,Adulto/a mayor,dic-21,66,Femenino,Ciudad Autónoma de Buenos Aires,2
Servicios financieros y seguros,Prácticas Abusivas,Adulto/a mayor,dic-21,71,Femenino,Ciudad Autónoma de Buenos Aires,2
Servicios financieros y seguros,Cumplimiento parcial o defectuoso de la prestación del servicio,Adulto/a mayor,dic-21,78,Femenino,Ciudad Autónoma de Buenos Aires,2
Servicios financieros y seguros,Cumplimiento parcial o defectuoso de la prestación del servicio,Adulto/a mayor,dic-21,78,Femenino,San Juan,70
Servicios de comunicaciones,Incumplimiento total de la prestación del servicio contratado,Adulto/a mayor,dic-21,51,Masculino,Ciudad Autónoma de Buenos Aires,2
Servicios de Salud,Demora excesiva para el cumplimiento  de prestaciones médicas,Salud,dic-21,25,Femenino,Ciudad Autónoma de Buenos Aires,2
Servicios financieros y seguros,Cumplimiento parcial o defectuoso de la prestación del servicio,Adulto/a mayor,dic-21,80,Femenino,Ciudad Autónoma de Buenos Aires,2
Servicio de administración de pagos,Cumplimiento parcial o defectuoso de la prestación del servicio,Socio-económica,dic-21,41,Femenino,Ciudad Autónoma de Buenos Aires,2
Servicios de comunicaciones,Cumplimiento parcial o defectuoso de la prestación del servicio,Adulto/a mayor,dic-21,42,Femenino,Buenos Aires,6
Construcción y equipamiento del hogar,Falta de Entrega del bien,Adulto/a mayor,dic-21,73,Femenino,La Pampa,42
Servicios turísticos,Cumplimiento parcial o defectuoso de la prestación del servicio,Turista,dic-21,72,Masculino,Ciudad Autónoma de Buenos Aires,2
Servicios financieros y seguros,Cumplimiento parcial o defectuoso de la prestación del servicio,Adulto/a mayor,dic-21,83,Femenino,Ciudad Autónoma de Buenos Aires,2
Servicios públicos domiciliarios,Cumplimiento parcial o defectuoso de la prestación del servicio,Adulto/a mayor,dic-21,76,Femenino,Ciudad Autónoma de Buenos Aires,2
Servicios financieros y seguros,Prácticas Abusivas,Adulto/a mayor,dic-21,79,Femenino,Buenos Aires,6
Servicios de comunicaciones,Falta de procesamiento de baja del servicio,Adulto/a mayor,dic-21,76,Femenino,Buenos Aires,6
Servicios financieros y seguros,Problemas de fraude o estafa,Adulto/a mayor,dic-21,52,Masculino,Buenos Aires,6
Servicios de comunicaciones,Cumplimiento parcial o defectuoso de la prestación del servicio,Adulto/a mayor,dic-21,75,Femenino,Córdoba,14
Servicios de Salud,Demora excesiva para el cumplimiento  de prestaciones médicas,Salud,dic-21,36,Femenino,Ciudad Autónoma de Buenos Aires,2
Servicios de comunicaciones,Cumplimiento parcial o defectuoso de la prestación del servicio,Adulto/a mayor,dic-21,78,Femenino,Ciudad Autónoma de Buenos Aires,2
Servicios financieros y seguros,Problemas de fraude o estafa,Adulto/a mayor,dic-21,74,Femenino,Ciudad Autónoma de Buenos Aires,2
Servicios financieros y seguros,Cumplimiento parcial o defectuoso de la prestación del servicio,Adulto/a mayor,dic-21,68,Femenino,Chaco,22
Servicios de Salud,Cumplimiento parcial o defectuoso de la prestación médica o de cobertura de la medicación prescripta,Salud,dic-21,47,Femenino,Córdoba,14
Servicios de comunicaciones,Facturación excesiva/ facturación cargos no convenidos,Adulto/a mayor,dic-21,70,Femenino,Ciudad Autónoma de Buenos Aires,2
Electrodomésticos y artefactos para el hogar,Garantía de Bienes. Art 11 Ley 24.240,Adulto/a mayor,dic-21,85,Femenino,Ciudad Autónoma de Buenos Aires,2
Servicios financieros y seguros,Problemas de fraude o estafa,Adulto/a mayor,dic-21,73,Femenino,Buenos Aires,6
Servicios de Salud,Demora excesiva para el cumplimiento  de prestaciones médicas,Salud,dic-21,60,Masculino,Ciudad Autónoma de Buenos Aires,2
Servicios de comunicaciones,Cumplimiento parcial o defectuoso de la prestación del servicio,Adulto/a mayor,dic-21,58,Femenino,Ciudad Autónoma de Buenos Aires,2
Servicios financieros y seguros,Cumplimiento parcial o defectuoso de la prestación del servicio,Adulto/a mayor,dic-21,73,Femenino,Ciudad Autónoma de Buenos Aires,2
Servicios fúnebres,Precios,Adulto/a mayor,dic-21,77,Masculino,Río Negro,62
Servicios financieros y seguros,Precios,Barrios populares,dic-21,33,Femenino,Ciudad Autónoma de Buenos Aires,2
Servicios públicos domiciliarios,Cumplimiento parcial o defectuoso de la prestación del servicio,Adulto/a mayor,dic-21,71,Masculino,Córdoba,14
Servicios públicos domiciliarios,Falta de Información relevante. Art 4 de la Ley 24.240,Adulto/a mayor,dic-21,44,Femenino,Buenos Aires,6
Servicios de Salud,Negativa o falta de cobertura total de la prestación comprometida,Salud,dic-21,28,Femenino,Buenos Aires,6
Servicios de construcción para el hogar y comercialización de inmuebles,Cumplimiento parcial o defectuoso de la prestación del servicio,Adulto/a mayor,dic-21,76,Femenino,Ciudad Autónoma de Buenos Aires,2
Servicios turísticos,Falta de procesamiento de baja del servicio,Turista,dic-21,40,Femenino,Córdoba,14
Servicios de Peluquería depilación belleza y bienestar físico,Cumplimiento parcial o defectuoso de la prestación del servicio,NNyA,dic-21,14,Femenino,Tucumán,90
Servicios de comunicaciones,Cumplimiento parcial o defectuoso de la prestación del servicio,Adulto/a mayor,dic-21,84,Masculino,Ciudad Autónoma de Buenos Aires,2
Servicios de Salud,Negativa o falta de cobertura total de la prestación comprometida,Salud,dic-21,37,Femenino,Jujuy,38
Servicios públicos domiciliarios,Cumplimiento parcial o defectuoso de la prestación del servicio,Adulto/a mayor,dic-21,66,Masculino,Ciudad Autónoma de Buenos Aires,2
Servicios turísticos,Clausulas Abusivas - Art. 37 Ley 24.240,Socio-económica,dic-21,22,Femenino,Buenos Aires,6
Servicios turísticos,Cumplimiento parcial o defectuoso de la prestación del servicio,Adulto/a mayor,dic-21,80,Masculino,Ciudad Autónoma de Buenos Aires,2
Servicios turísticos,Falta de procesamiento de baja del servicio,Turista,dic-21,19,Femenino,Buenos Aires,6
Servicios turísticos,Incumplimiento total de la prestación del servicio contratado,Adulto/a mayor,dic-21,35,Femenino,Tucumán,90
Servicios financieros y seguros,Cumplimiento parcial o defectuoso de la prestación del servicio,Socio-económica,dic-21,47,Masculino,Ciudad Autónoma de Buenos Aires,2
Servicios financieros y seguros,Falta de procesamiento de baja del servicio,Adulto/a mayor,dic-21,79,Masculino,Ciudad Autónoma de Buenos Aires,2
Servicios turísticos,Incumplimiento total de la prestación del servicio contratado,Turista,dic-21,76,Masculino,Ciudad Autónoma de Buenos Aires,2
Servicios financieros y seguros,Cumplimiento parcial o defectuoso de la prestación del servicio,Adulto/a mayor,dic-21,72,Femenino,Córdoba,14
Servicios de Salud,Negativa o falta de cobertura total de la prestación comprometida,Socio-económica,dic-21,26,Masculino,Buenos Aires,6
Servicios de comunicaciones,Cumplimiento parcial o defectuoso de la prestación del servicio,Adulto/a mayor,dic-21,83,Masculino,Buenos Aires,6
Servicios financieros y seguros,Cumplimiento parcial o defectuoso de la prestación del servicio,Adulto/a mayor,dic-21,82,Masculino,Ciudad Autónoma de Buenos Aires,2
Servicios de transporte aéreo,Cancelación o supresión de vuelos,Turista,dic-21,25,Femenino,Buenos Aires,6
Servicios de comunicaciones,Falta de procesamiento de baja del servicio,Adulto/a mayor,dic-21,74,Femenino,Buenos Aires,6
Servicios de comunicaciones,Cumplimiento parcial o defectuoso de la prestación del servicio,Adulto/a mayor,dic-21,89,Masculino,Buenos Aires,6
Electrodomésticos y artefactos para el hogar,Garantía de Bienes. Art 11 Ley 24.240,Adulto/a mayor,dic-21,73,Femenino,Buenos Aires,6
Servicios financieros y seguros,Cumplimiento parcial o defectuoso de la prestación del servicio,Adulto/a mayor,dic-21,86,Masculino,Buenos Aires,6
Equipos de telefonía,Garantía de Bienes. Art 11 Ley 24.240,NNyA,dic-21,19,Masculino,Buenos Aires,6
Servicios financieros y seguros,Precios,Adulto/a mayor,dic-21,61,Femenino,Ciudad Autónoma de Buenos Aires,2
Servicios financieros y seguros,Cumplimiento parcial o defectuoso de la prestación del servicio,Socio-económica,dic-21,56,Femenino,Córdoba,14
Servicios de comunicaciones,Facturación excesiva/ facturación cargos no convenidos,Adulto/a mayor,dic-21,83,Femenino,Ciudad Autónoma de Buenos Aires,2
Servicios de comunicaciones,Falta de procesamiento de baja del servicio,Socio-económica,dic-21,62,Femenino,Ciudad Autónoma de Buenos Aires,2
Rodados automotores y embarcaciones,Problemas Planes de Ahorro Previo para Fines Determinados,Socio-económica,dic-21,62,Masculino,Ciudad Autónoma de Buenos Aires,2
Servicios de transporte terrestre de pasajeros y cargas,Problemas de fraude o estafa,Adulto/a mayor,dic-21,68,Masculino,Ciudad Autónoma de Buenos Aires,2
Servicios financieros y seguros,Cumplimiento parcial o defectuoso de la prestación del servicio,Socio-económica,dic-21,64,Masculino,Río Negro,62
Servicios de comunicaciones,Cumplimiento parcial o defectuoso de la prestación del servicio,Adulto/a mayor,dic-21,74,Masculino,Chubut,26
Servicios públicos domiciliarios,Cumplimiento parcial o defectuoso de la prestación del servicio,Adulto/a mayor,dic-21,71,Masculino,Ciudad Autónoma de Buenos Aires,2
Servicios financieros y seguros,Cumplimiento parcial o defectuoso de la prestación del servicio,Socio-económica,dic-21,26,Femenino,Tucumán,90
Servicio de administración de Consorcios,Cumplimiento parcial o defectuoso de la prestación del servicio,Adulto/a mayor,dic-21,81,Femenino,Ciudad Autónoma de Buenos Aires,2
Servicios financieros y seguros,Precios,Adulto/a mayor,dic-21,72,Masculino,Ciudad Autónoma de Buenos Aires,2
Servicios financieros y seguros,Problemas de fraude o estafa,Adulto/a mayor,dic-21,71,Femenino,Córdoba,14
Servicios de comunicaciones,Facturación excesiva/ facturación cargos no convenidos,Adulto/a mayor,dic-21,81,Femenino,Ciudad Autónoma de Buenos Aires,2
Servicios de comunicaciones,Falta de Información relevante. Art 4 de la Ley 24.240,Adulto/a mayor,dic-21,67,Femenino,Ciudad Autónoma de Buenos Aires,2
Servicios financieros y seguros,Precios,Turista,dic-21,72,Masculino,Ciudad Autónoma de Buenos Aires,2
Servicios financieros y seguros,Problemas de fraude o estafa,Adulto/a mayor,dic-21,64,Femenino,Jujuy,38
Servicios públicos domiciliarios,Falta de procesamiento de baja del servicio,Adulto/a mayor,dic-21,62,Femenino,Ciudad Autónoma de Buenos Aires,2
Servicio de administración de pagos,Problemas de fraude o estafa,Adulto/a mayor,dic-21,71,Femenino,Ciudad Autónoma de Buenos Aires,2
Servicios de transporte aéreo,Incumplimiento total de la prestación del servicio contratado,Turista,dic-21,66,Masculino,Ciudad Autónoma de Buenos Aires,2
Informática,Entrega Defectuosa,Salud,dic-21,42,Masculino,Ciudad Autónoma de Buenos Aires,2
Servicios de comunicaciones,Cumplimiento parcial o defectuoso de la prestación del servicio,Adulto/a mayor,dic-21,91,Femenino,Ciudad Autónoma de Buenos Aires,2
Servicios financieros y seguros,Cumplimiento parcial o defectuoso de la prestación del servicio,Adulto/a mayor,dic-21,74,Femenino,Ciudad Autónoma de Buenos Aires,2
Servicios financieros y seguros,Problemas de fraude o estafa,Socio-económica,dic-21,43,Femenino,Tucumán,90
Servicios financieros y seguros,Cumplimiento parcial o defectuoso de la prestación del servicio,Discapacidad,dic-21,51,Masculino,Ciudad Autónoma de Buenos Aires,2
Servicios de comunicaciones,Cumplimiento parcial o defectuoso de la prestación del servicio,Adulto/a mayor,dic-21,82,Femenino,Buenos Aires,6
Servicios públicos domiciliarios,Cumplimiento parcial o defectuoso de la prestación del servicio,Discapacidad,dic-21,43,Femenino,Buenos Aires,6
Equipos de telefonía,Problemas con la devolución del bien o el reembolso de sumas,Adulto/a mayor,dic-21,76,Femenino,Ciudad Autónoma de Buenos Aires,2
Servicios de comunicaciones,Cumplimiento parcial o defectuoso de la prestación del servicio,Adulto/a mayor,dic-21,79,Femenino,Buenos Aires,6
Servicios de comunicaciones,Incumplimiento total de la prestación del servicio contratado,Adulto/a mayor,dic-21,76,Femenino,Neuquén,58
Servicios de Salud,Negativa o falta de cobertura total de la prestación comprometida,NNyA,dic-21,25,Femenino,Buenos Aires,6
Servicios de comunicaciones,Cumplimiento parcial o defectuoso de la prestación del servicio,Adulto/a mayor,dic-21,81,Femenino,Ciudad Autónoma de Buenos Aires,2
Servicios de comunicaciones,Precios,Adulto/a mayor,dic-21,82,Femenino,Ciudad Autónoma de Buenos Aires,2
Servicios públicos domiciliarios,Cumplimiento parcial o defectuoso de la prestación del servicio,Adulto/a mayor,dic-21,91,Femenino,Ciudad Autónoma de Buenos Aires,2
Alimentos y bebidas,Entrega Defectuosa,Socio-económica,dic-21,22,Femenino,Buenos Aires,6
Servicios financieros y seguros,Cumplimiento parcial o defectuoso de la prestación del servicio,Adulto/a mayor,dic-21,70,Femenino,Ciudad Autónoma de Buenos Aires,2
Servicios de Salud,Demora excesiva para el cumplimiento  de prestaciones médicas,Salud,dic-21,77,Femenino,Ciudad Autónoma de Buenos Aires,2
Servicios financieros y seguros,Problemas de fraude o estafa,Discapacidad,dic-21,73,Femenino,Ciudad Autónoma de Buenos Aires,2
Servicios de transporte aéreo,Falta de procesamiento de baja del servicio,Turista,dic-21,77,Masculino,Ciudad Autónoma de Buenos Aires,2
Servicio de administración de Consorcios,Cumplimiento parcial o defectuoso de la prestación del servicio,Socio-económica,dic-21,81,Femenino,Buenos Aires,6
Servicios financieros y seguros,Información Indebida a Banco de Datos de Riesgo Crediticio,Adulto/a mayor,dic-21,70,Femenino,Ciudad Autónoma de Buenos Aires,2
Electrodomésticos y artefactos para el hogar,Entrega Defectuosa,Socio-económica,dic-21,69,Masculino,Córdoba,14
Farmacia y productos para la salud,Garantía de Bienes. Art 11 Ley 24.240,Adulto/a mayor,dic-21,73,Femenino,Ciudad Autónoma de Buenos Aires,2
Servicios de comunicaciones,Cumplimiento parcial o defectuoso de la prestación del servicio,Socio-económica,dic-21,68,Femenino,Ciudad Autónoma de Buenos Aires,2
Servicios turísticos,Clausulas Abusivas - Art. 37 Ley 24.240,Adulto/a mayor,dic-21,71,Masculino,Buenos Aires,6
Rodados automotores y embarcaciones,Problemas Planes de Ahorro Previo para Fines Determinados,Adulto/a mayor,dic-21,61,Femenino,Ciudad Autónoma de Buenos Aires,2
Equipos de telefonía,Falta de Entrega del bien,NNyA,dic-21,18,Femenino,Buenos Aires,6
Servicios financieros y seguros,Cumplimiento parcial o defectuoso de la prestación del servicio,Adulto/a mayor,dic-21,71,Masculino,Buenos Aires,6
Servicios públicos domiciliarios,Cumplimiento parcial o defectuoso de la prestación del servicio,Salud,dic-21,65,Femenino,Ciudad Autónoma de Buenos Aires,2
Servicios públicos domiciliarios,Cumplimiento parcial o defectuoso de la prestación del servicio,Socio-económica,dic-21,25,Masculino,Ciudad Autónoma de Buenos Aires,2
Servicios de comunicaciones,Cumplimiento parcial o defectuoso de la prestación del servicio,Adulto/a mayor,dic-21,75,Masculino,Buenos Aires,6
Servicios de comunicaciones,Facturación excesiva/ facturación cargos no convenidos,Adulto/a mayor,dic-21,79,Masculino,Ciudad Autónoma de Buenos Aires,2
Equipos de telefonía,Falta de entrega del documento de la venta del producto: factura remito ticket,Socio-económica,dic-21,81,Masculino,Catamarca,10
Servicios públicos domiciliarios,Cumplimiento parcial o defectuoso de la prestación del servicio,Adulto/a mayor,dic-21,86,Femenino,Buenos Aires,6
Servicios turísticos,Cumplimiento parcial o defectuoso de la prestación del servicio,Adulto/a mayor,dic-21,74,Femenino,Córdoba,14
Rodados automotores y embarcaciones,Problemas Planes de Ahorro Previo para Fines Determinados,Adulto/a mayor,dic-21,63,Femenino,Santa Fe,82
Rodados automotores y embarcaciones,Problemas Planes de Ahorro Previo para Fines Determinados,Socio-económica,dic-21,35,Masculino,Ciudad Autónoma de Buenos Aires,2
Servicios de Salud,Negativa o falta de cobertura total de la prestación comprometida,Salud,dic-21,42,Masculino,Tierra del Fuego Antártida e Islas del Atlántico Sur,94
Servicios de comunicaciones,Problemas de fraude o estafa,Adulto/a mayor,dic-21,71,Femenino,Ciudad Autónoma de Buenos Aires,2
Servicios de gestoría y consultoría,Cumplimiento parcial o defectuoso de la prestación del servicio,Socio-económica,dic-21,70,Masculino,Ciudad Autónoma de Buenos Aires,2
Servicios de transporte terrestre de pasajeros y cargas,Prácticas Abusivas,Adulto/a mayor,dic-21,85,Femenino,Buenos Aires,6
Servicios de comunicaciones,Cumplimiento parcial o defectuoso de la prestación del servicio,Adulto/a mayor,dic-21,79,Masculino,Ciudad Autónoma de Buenos Aires,2
Servicios de Salud,Falta de procesamiento de baja del servicio,Socio-económica,dic-21,56,Masculino,Buenos Aires,6
Servicios financieros y seguros,Falta de procesamiento de baja del servicio,Socio-económica,dic-21,43,Femenino,Ciudad Autónoma de Buenos Aires,2
Servicios turísticos,Incumplimiento total de la prestación del servicio contratado,NNyA,dic-21,44,Femenino,Buenos Aires,6
Servicios financieros y seguros,Falta de Información relevante. Art 4 de la Ley 24.240,Adulto/a mayor,dic-21,72,Masculino,Ciudad Autónoma de Buenos Aires,2
Equipos de telefonía,Problemas de fraude o estafa,Adulto/a mayor,dic-21,81,Masculino,Ciudad Autónoma de Buenos Aires,2
Servicios de comunicaciones,Existencia de clausulas abusivas.,Adulto/a mayor,dic-21,80,Femenino,Ciudad Autónoma de Buenos Aires,2
Servicios de Salud,Clausulas Abusivas - Art. 37 Ley 24.240,Salud,dic-21,29,Femenino,Ciudad Autónoma de Buenos Aires,2
Servicios de Salud,Demora excesiva para el cumplimiento  de prestaciones médicas,Salud,dic-21,71,Masculino,Buenos Aires,6
Rodados automotores y embarcaciones,Problemas Planes de Ahorro Previo para Fines Determinados,Socio-económica,dic-21,56,Femenino,Santa Fe,82
Servicios de comunicaciones,Cumplimiento parcial o defectuoso de la prestación del servicio,Adulto/a mayor,dic-21,63,Femenino,Ciudad Autónoma de Buenos Aires,2
Muebles,Garantía de Bienes. Art 11 Ley 24.240,Adulto/a mayor,dic-21,71,Femenino,Buenos Aires,6
Servicios públicos domiciliarios,Precios,Adulto/a mayor,dic-21,86,Femenino,Buenos Aires,6
Servicios de gestoría y consultoría,Falta de procesamiento de baja del servicio,Adulto/a mayor,dic-21,74,Femenino,Ciudad Autónoma de Buenos Aires,2
Servicios públicos domiciliarios,Cumplimiento parcial o defectuoso de la prestación del servicio,Adulto/a mayor,dic-21,72,Masculino,Ciudad Autónoma de Buenos Aires,2
Servicios de Salud,Negativa o falta de cobertura total de la prestación comprometida,Salud,dic-21,63,Femenino,Ciudad Autónoma de Buenos Aires,2
Servicios de comunicaciones,Falta de procesamiento de baja del servicio,Adulto/a mayor,dic-21,77,Femenino,Ciudad Autónoma de Buenos Aires,2
Servicios de comunicaciones,Cumplimiento parcial o defectuoso de la prestación del servicio,Adulto/a mayor,dic-21,91,Masculino,La Rioja,46
Servicios financieros y seguros,Falta de Información relevante. Art 4 de la Ley 24.240,Adulto/a mayor,dic-21,70,Femenino,Jujuy,38
Equipos de telefonía,Garantía de Bienes. Art 11 Ley 24.240,Adulto/a mayor,dic-21,65,Femenino,Tucumán,90
Servicios de Salud,Clausulas Abusivas - Art. 37 Ley 24.240,Adulto/a mayor,dic-21,74,Femenino,Ciudad Autónoma de Buenos Aires,2
Servicios de gestoría y consultoría,Clausulas Abusivas - Art. 37 Ley 24.240,Socio-económica,dic-21,44,Femenino,Ciudad Autónoma de Buenos Aires,2
Servicios de comunicaciones,Cumplimiento parcial o defectuoso de la prestación del servicio,Adulto/a mayor,dic-21,96,Femenino,Ciudad Autónoma de Buenos Aires,2
Servicios financieros y seguros,Cumplimiento parcial o defectuoso de la prestación del servicio,Adulto/a mayor,dic-21,80,Masculino,Ciudad Autónoma de Buenos Aires,2
Muebles,Problemas de fraude o estafa,Adulto/a mayor,dic-21,50,Femenino,Ciudad Autónoma de Buenos Aires,2
Servicios de comunicaciones,Cumplimiento parcial o defectuoso de la prestación del servicio,Adulto/a mayor,dic-21,39,Femenino,Buenos Aires,6
Servicios de comunicaciones,Falta de procesamiento de baja del servicio,Adulto/a mayor,dic-21,32,Femenino,Ciudad Autónoma de Buenos Aires,2
Servicios públicos domiciliarios,Cumplimiento parcial o defectuoso de la prestación del servicio,Adulto/a mayor,dic-21,72,Masculino,Ciudad Autónoma de Buenos Aires,2
Servicios públicos domiciliarios,Cumplimiento parcial o defectuoso de la prestación del servicio,Adulto/a mayor,dic-21,83,Masculino,Ciudad Autónoma de Buenos Aires,2
Servicios financieros y seguros,Problemas de fraude o estafa,Discapacidad,dic-21,46,Femenino,Córdoba,14
Servicios de comunicaciones,Información Indebida a Banco de Datos de Riesgo Crediticio,Barrios populares,dic-21,56,Masculino,Ciudad Autónoma de Buenos Aires,2
Servicios públicos domiciliarios,Cumplimiento parcial o defectuoso de la prestación del servicio,Barrios populares,dic-21,56,Masculino,Ciudad Autónoma de Buenos Aires,2
Servicios financieros y seguros,Precios,Adulto/a mayor,dic-21,72,Femenino,Tucumán,90
Servicios de comunicaciones,Cumplimiento parcial o defectuoso de la prestación del servicio,Salud,dic-21,31,Femenino,Buenos Aires,6
Informática,Prácticas Abusivas,Violencia de género,dic-21,24,Femenino,Buenos Aires,6
Servicios de comunicaciones,Problemas de fraude o estafa,Adulto/a mayor,dic-21,71,Femenino,Ciudad Autónoma de Buenos Aires,2
Servicios de comunicaciones,Cumplimiento parcial o defectuoso de la prestación del servicio,Adulto/a mayor,dic-21,73,Femenino,Buenos Aires,6
Servicios de Salud,Negativa o falta de cobertura total de la prestación comprometida,Salud,dic-21,38,Femenino,Misiones,54
Textil calzado y marroquinería,Problemas con la devolución del bien o el reembolso de sumas,Discapacidad,dic-21,48,Femenino,Buenos Aires,6
Servicios de comunicaciones,Cumplimiento parcial o defectuoso de la prestación del servicio,Discapacidad,dic-21,75,Femenino,Buenos Aires,6
Servicios financieros y seguros,Problemas de fraude o estafa,Adulto/a mayor,dic-21,68,Masculino,Buenos Aires,6
Servicios financieros y seguros,Incumplimiento total de la prestación del servicio contratado,Socio-económica,dic-21,33,Masculino,Córdoba,14
Servicios financieros y seguros,Cumplimiento parcial o defectuoso de la prestación del servicio,Socio-económica,dic-21,64,Femenino,Ciudad Autónoma de Buenos Aires,2
Servicios financieros y seguros,Precios,Adulto/a mayor,dic-21,59,Femenino,Córdoba,14
Servicios turísticos,Cumplimiento parcial o defectuoso de la prestación del servicio,Adulto/a mayor,dic-21,64,Masculino,Chaco,22
Servicios públicos domiciliarios,Cumplimiento parcial o defectuoso de la prestación del servicio,Adulto/a mayor,dic-21,91,Masculino,Ciudad Autónoma de Buenos Aires,2
Artículos de lectura y audiovisuales,Problemas de fraude o estafa,Socio-económica,dic-21,16,Masculino,Ciudad Autónoma de Buenos Aires,2
Servicios de comunicaciones,Cumplimiento parcial o defectuoso de la prestación del servicio,Adulto/a mayor,dic-21,82,Femenino,Ciudad Autónoma de Buenos Aires,2
Instrumentos musicales,Precios,Adulto/a mayor,dic-21,71,Femenino,Ciudad Autónoma de Buenos Aires,2
Electrodomésticos y artefactos para el hogar,Falta de Entrega del bien,Adulto/a mayor,dic-21,68,Masculino,Ciudad Autónoma de Buenos Aires,2
Servicios de comunicaciones,Cumplimiento parcial o defectuoso de la prestación del servicio,Adulto/a mayor,dic-21,74,Masculino,Ciudad Autónoma de Buenos Aires,2
